timestamp,image_id,preprocess_ms,inference_ms,total_ms
2026-05-01T18:19:07.668122,run_20260501_181904_img_0001,424.844,1865.448,2290.292
2026-05-01T18:19:09.694586,run_20260501_181904_img_0002,180.069,1788.346,1968.415
2026-05-01T18:19:11.660964,run_20260501_181904_img_0003,154.974,1768.826,1923.8
2026-05-01T18:19:13.600058,run_20260501_181904_img_0004,139.54,1763.512,1903.052
2026-05-01T18:19:15.541526,run_20260501_181904_img_0005,146.898,1758.599,1905.498
2026-05-01T18:19:17.491704,run_20260501_181904_img_0006,141.022,1771.321,1912.343
2026-05-01T18:19:19.451577,run_20260501_181904_img_0007,144.366,1781.376,1925.742
2026-05-01T18:19:21.418093,run_20260501_181904_img_0008,168.28,1761.937,1930.217
2026-05-01T18:19:23.357280,run_20260501_181904_img_0009,142.103,1757.899,1900.002
2026-05-01T18:19:25.317333,run_20260501_181904_img_0010,140.463,1782.328,1922.792
2026-05-01T18:19:27.268468,run_20260501_181904_img_0011,157.502,1757.962,1915.464
2026-05-01T18:19:29.209040,run_20260501_181904_img_0012,142.703,1762.535,1905.238
2026-05-01T18:19:31.184262,run_20260501_181904_img_0013,142.238,1769.07,1911.309
2026-05-01T18:19:33.142345,run_20260501_181904_img_0014,116.076,1771.501,1887.577
2026-05-01T18:19:35.089833,run_20260501_181904_img_0015,116.072,1780.606,1896.678
2026-05-01T18:19:37.028199,run_20260501_181904_img_0016,144.492,1754.437,1898.929
2026-05-01T18:19:38.958884,run_20260501_181904_img_0017,119.491,1769.055,1888.546
2026-05-01T18:19:40.893525,run_20260501_181904_img_0018,119.807,1773.583,1893.391
2026-05-01T18:19:42.813315,run_20260501_181904_img_0019,123.714,1758.969,1882.683
2026-05-01T18:19:44.729553,run_20260501_181904_img_0020,118.469,1758.07,1876.54
2026-05-01T18:19:46.670811,run_20260501_181904_img_0021,122.473,1764.759,1887.232
2026-05-01T18:19:48.613587,run_20260501_181904_img_0022,122.523,1772.914,1895.437
2026-05-01T18:19:50.548306,run_20260501_181904_img_0023,128.72,1761.12,1889.84
2026-05-01T18:19:52.494334,run_20260501_181904_img_0024,130.152,1761.071,1891.224
2026-05-01T18:19:54.454226,run_20260501_181904_img_0025,119.616,1787.639,1907.255
2026-05-01T18:19:56.396164,run_20260501_181904_img_0026,122.12,1766.645,1888.765
2026-05-01T18:19:58.386407,run_20260501_181904_img_0027,125.725,1767.967,1893.693
2026-05-01T18:20:00.379848,run_20260501_181904_img_0028,181.006,1764.992,1945.997
2026-05-01T18:20:02.390487,run_20260501_181904_img_0029,205.582,1765.356,1970.939
2026-05-01T18:20:04.378416,run_20260501_181904_img_0030,183.462,1759.146,1942.608
2026-05-01T18:20:06.396601,run_20260501_181904_img_0031,192.279,1773.525,1965.804
2026-05-01T18:20:08.410428,run_20260501_181904_img_0032,206.455,1761.087,1967.542
2026-05-01T18:20:10.399482,run_20260501_181904_img_0033,183.872,1761.443,1945.315
2026-05-01T18:20:12.416405,run_20260501_181904_img_0034,200.967,1775.455,1976.421
2026-05-01T18:20:14.390809,run_20260501_181904_img_0035,181.283,1756.057,1937.339
2026-05-01T18:20:16.386338,run_20260501_181904_img_0036,189.644,1767.983,1957.627
2026-05-01T18:20:18.403453,run_20260501_181904_img_0037,208.328,1768.943,1977.272
2026-05-01T18:20:20.393654,run_20260501_181904_img_0038,182.869,1764.821,1947.689
2026-05-01T18:20:22.410677,run_20260501_181904_img_0039,205.689,1763.782,1969.471
2026-05-01T18:20:24.403262,run_20260501_181904_img_0040,183.706,1764.169,1947.875
2026-05-01T18:20:26.411106,run_20260501_181904_img_0041,193.577,1767.133,1960.709
2026-05-01T18:20:28.420998,run_20260501_181904_img_0042,199.411,1766.785,1966.196
2026-05-01T18:20:30.411182,run_20260501_181904_img_0043,183.662,1765.382,1949.044
2026-05-01T18:20:32.420629,run_20260501_181904_img_0044,202.287,1764.051,1966.338
2026-05-01T18:20:34.402113,run_20260501_181904_img_0045,179.53,1762.338,1941.868
2026-05-01T18:20:36.393467,run_20260501_181904_img_0046,191.824,1760.771,1952.595
2026-05-01T18:20:38.412549,run_20260501_181904_img_0047,208.109,1769.893,1978.002
2026-05-01T18:20:40.392609,run_20260501_181904_img_0048,181.676,1758.822,1940.497
2026-05-01T18:20:42.408519,run_20260501_181904_img_0049,203.462,1769.588,1973.051
2026-05-01T18:20:44.388130,run_20260501_181904_img_0050,180.309,1757.439,1937.748
2026-05-01T18:20:46.386930,run_20260501_181904_img_0051,191.545,1768.089,1959.633
2026-05-01T18:20:48.405967,run_20260501_181904_img_0052,202.904,1771.039,1973.943
2026-05-01T18:20:50.387304,run_20260501_181904_img_0053,182.455,1756.127,1938.582
2026-05-01T18:20:52.399432,run_20260501_181904_img_0054,206.6,1767.595,1974.195
2026-05-01T18:20:54.346810,run_20260501_181904_img_0055,151.837,1760.738,1912.575
2026-05-01T18:20:56.293539,run_20260501_181904_img_0056,153.245,1761.644,1914.889
2026-05-01T18:20:58.266742,run_20260501_181904_img_0057,171.672,1767.706,1939.379
2026-05-01T18:21:00.214457,run_20260501_181904_img_0058,151.444,1762.438,1913.882
2026-05-01T18:21:02.154585,run_20260501_181904_img_0059,145.837,1761.147,1906.983
2026-05-01T18:21:04.100596,run_20260501_181904_img_0060,142.719,1769.691,1912.41
2026-05-01T18:21:06.043147,run_20260501_181904_img_0061,144.568,1766.51,1911.078
2026-05-01T18:21:07.968933,run_20260501_181904_img_0062,127.654,1764.753,1892.407
2026-05-01T18:21:09.902668,run_20260501_181904_img_0063,127.892,1761.241,1889.134
2026-05-01T18:21:11.843324,run_20260501_181904_img_0064,120.31,1762.285,1882.594
2026-05-01T18:21:13.788644,run_20260501_181904_img_0065,116.502,1771.668,1888.17
2026-05-01T18:21:15.720054,run_20260501_181904_img_0066,118.913,1760.104,1879.017
2026-05-01T18:21:17.665082,run_20260501_181904_img_0067,123.869,1772.518,1896.386
2026-05-01T18:21:19.509996,run_20260501_181904_img_0068,136.028,1668.756,1804.785
2026-05-01T18:21:21.608646,run_20260501_181904_img_0069,141.726,1924.299,2066.026
2026-05-01T18:21:23.555946,run_20260501_181904_img_0070,147.692,1767.684,1915.376
2026-05-01T18:21:25.519065,run_20260501_181904_img_0071,143.267,1786.876,1930.142
2026-05-01T18:21:27.366776,run_20260501_181904_img_0072,141.86,1669.781,1811.641
2026-05-01T18:21:29.322823,run_20260501_181904_img_0073,142.178,1775.082,1917.26
2026-05-01T18:21:31.265458,run_20260501_181904_img_0074,142.346,1764.579,1906.925
2026-05-01T18:21:33.221047,run_20260501_181904_img_0075,146.97,1768.345,1915.315
2026-05-01T18:21:35.163652,run_20260501_181904_img_0076,136.336,1767.409,1903.745
2026-05-01T18:21:37.100535,run_20260501_181904_img_0077,137.978,1762.78,1900.758
2026-05-01T18:21:39.047403,run_20260501_181904_img_0078,139.162,1767.738,1906.9
2026-05-01T18:21:40.985346,run_20260501_181904_img_0079,136.313,1764.888,1901.201
2026-05-01T18:21:42.925125,run_20260501_181904_img_0080,139.223,1763.1,1902.323
2026-05-01T18:21:44.860487,run_20260501_181904_img_0081,139.254,1761.654,1900.909
2026-05-01T18:21:46.854127,run_20260501_181904_img_0082,193.119,1760.421,1953.539
